(File generated before format was standardised:
uses id numbers instead of classes
run on 8 epochs instead of 4
is on all of Thai + English)

accuracy is 0.8563455720009813

precision for label '184' is 0.0
precision for label '227' is 0.0
precision for label '176' is 0.0
precision for label '212' is 0.0
precision for label '261' is 0.0
precision for label '283' is 0.0
precision for label '111' is 0.9917355371900827
precision for label '270' is 0.0
precision for label '205' is 0.0
precision for label '162' is 0.0
precision for label '177' is 0.0
precision for label '179' is 0.0
precision for label '193' is 0.0
precision for label '161' is 0.0
precision for label '191' is 0.0
precision for label '215' is 0.0
precision for label '235' is 0.0
precision for label '266' is 0.0
precision for label '233' is 0.0
precision for label '105' is 0.9691358024691358
precision for label '183' is 0.0
precision for label '192' is 0.0
precision for label '070' is 0.0
precision for label '073' is 0.0
precision for label '180' is 0.0
precision for label '103' is 0.7180851063829787
precision for label '078' is 0.0
precision for label '258' is 0.0
precision for label '079' is 0.0
precision for label '066' is 0.0
precision for label '280' is 0.0
precision for label '268' is 0.0
precision for label '198' is 0.0
precision for label '188' is 0.0
precision for label '169' is 0.0
precision for label '226' is 0.0
precision for label '083' is 0.0
precision for label '089' is 0.0
precision for label '271' is 0.0
precision for label '264' is 0.0
precision for label '178' is 0.0
precision for label '199' is 0.0
precision for label '121' is 0.9245901639344263
precision for label '174' is 0.0
precision for label '237' is 0.0
precision for label '098' is 0.0
precision for label '085' is 0.0
precision for label '197' is 0.0
precision for label '164' is 0.0
precision for label '071' is 0.0
precision for label '165' is 0.0
precision for label '046' is 0.0
precision for label '163' is 0.0
precision for label '072' is 0.0
precision for label '173' is 0.0
precision for label '274' is 0.0
precision for label '194' is 0.0
precision for label '090' is 0.0
precision for label '207' is 0.0
precision for label '101' is 0.8778625954198473
precision for label '119' is 0.9772727272727273
precision for label '269' is 0.0
precision for label '202' is 0.0
precision for label '236' is 0.0
precision for label '260' is 0.0
precision for label '277' is 0.0
precision for label '068' is 0.0
precision for label '080' is 0.0
precision for label '097' is 0.0
precision for label '259' is 0.0
precision for label '217' is 0.0
precision for label '196' is 0.0
precision for label '206' is 0.0
precision for label '115' is 0.9643916913946587
precision for label '190' is 0.0
precision for label '263' is 0.0
precision for label '104' is 0.9728260869565217
precision for label '267' is 0.0
precision for label '185' is 0.0
precision for label '107' is 0.9726027397260274
precision for label '082' is 0.0
precision for label '229' is 0.0
precision for label '281' is 0.0
precision for label '081' is 0.0
precision for label '231' is 0.0
precision for label '084' is 0.0
precision for label '234' is 0.0
precision for label '170' is 0.0
precision for label '282' is 0.0
precision for label '284' is 0.0
precision for label '200' is 0.0
precision for label '171' is 0.0
precision for label '166' is 0.0
precision for label '187' is 0.0
precision for label '224' is 0.0
precision for label '216' is 0.0
precision for label '209' is 0.0
precision for label '110' is 0.4507042253521127
precision for label '116' is 0.8099415204678363
precision for label '099' is 0.0
precision for label '106' is 0.9845201238390093
precision for label '118' is 0.9611650485436893
precision for label '285' is 0.0
precision for label '088' is 0.0
precision for label '265' is 0.0
precision for label '168' is 0.0
precision for label '077' is 0.0
precision for label '167' is 0.0
precision for label '108' is 0.46559633027522934
precision for label '181' is 0.0
precision for label '232' is 0.0
precision for label '201' is 0.0
precision for label '213' is 0.0
precision for label '273' is 0.0
precision for label '087' is 0.0
precision for label '069' is 0.0
precision for label '228' is 0.0
precision for label '204' is 0.0
precision for label '203' is 0.0
precision for label '195' is 0.0
precision for label '276' is 0.0
precision for label '230' is 0.0
precision for label '278' is 0.0
precision for label '175' is 0.0
precision for label '257' is 0.0
precision for label '065' is 0.0
precision for label '074' is 0.0
precision for label '086' is 0.0
precision for label '076' is 0.0
precision for label '189' is 0.0
precision for label '120' is 0.667741935483871
precision for label '182' is 0.0
precision for label '262' is 0.0
precision for label '186' is 0.0
precision for label '272' is 0.0
precision for label '210' is 0.0
precision for label '275' is 0.0
precision for label '117' is 0.9652996845425867
precision for label '102' is 0.9752066115702479
precision for label '109' is 0.9485981308411215
precision for label '113' is 0.7085427135678392
precision for label '067' is 0.0
precision for label '112' is 0.905511811023622
precision for label '100' is 0.8173076923076923
precision for label '114' is 0.7317073170731707
precision for label '223' is 0.0
precision for label '075' is 0.0
precision for label '172' is 0.0
precision for label '256' is 0.0
precision for label '279' is 0.0
precision for label '214' is 0.0
macro precision is 0.12424069930883733

recall for label '184' is 0.0
recall for label '227' is 0.0
recall for label '176' is 0.0
recall for label '212' is 0.0
recall for label '261' is 0.0
recall for label '283' is 0.0
recall for label '111' is 0.9863013698630136
